hours (h),TU3,TU6,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU15,TU16,TU17,Wam2,Wam4,Wam5,Wam6,Wam11,Wam13,Wam15,Wam16,Wam17,Wpm1,Wpm2,Wpm3,Wpm4,Wpm7,Wpm12,Wpm14,Th1,Th4,Th5,Th7,Th10,Th11,Th12,Th13,Th17,hours (h),Average,SD
0,86.32,92.7,92.59,80.8,96.23,84.95,96.67,77.36,95.45,88.3,100,90.34,93.26,81.83,93.18,60.32,95.04,,71.93,80.13,85.21,80.56,100,94,92.24,93.44,98.44,84.18,84.34,73.53,81.82,91.01,79.28,78.89,88.01,100,78.89,0,87.26,9.02
3.75,100,95.62,93.33,89.6,97.17,92.02,93.17,100,95.45,94.68,100,74.43,96.63,82.66,100,100,100,82.98,72.81,83.77,100,90.74,93.58,100,100,100,93.75,97.45,90.36,86.27,78.41,88.76,72.97,95.56,93.37,97.99,95.56,3.75,92.41,8.04
7.5,90.6,94.89,86.67,84.8,89.62,94.65,92.32,90.57,92.42,93.62,78.86,89.77,96.07,76.54,90.91,98.41,94.21,74.47,72.81,84.44,78.8,89.81,86.24,89,87.93,95.92,82.03,88.31,87.95,71.57,76.14,84.27,72.07,81.11,86.33,91.1,81.11,7.5,86.39,7.33
11.25,75.21,78.83,69.63,70.4,75.47,80.75,74.47,69.81,81.82,74.47,73.17,60.23,69.1,58.47,71.59,82.54,71.9,64.89,61.4,70.75,64.29,74.07,71.56,73,74.14,79.28,71.88,82.14,71.08,61.76,61.36,67.42,64.86,68.89,65.05,76.54,68.89,11.25,71.11,6.35
15,42.74,46.72,46.67,48,50,48.74,53.37,47.17,50,50,44.72,43.75,42.7,53.22,52.27,42.06,49.59,50,40.35,51.99,44.77,41.67,48.62,47,48.28,43.5,50,53.06,48.19,43.14,53.41,51.69,45.95,45.56,53.69,51.81,45.56,15,47.84,3.81
18.75,44.44,40.88,42.96,42.4,45.28,43.76,47.37,46.23,42.42,38.3,40.65,36.36,35.39,45.05,47.73,40.48,41.32,,39.47,45.81,43.34,45.37,41.28,45,41.38,41.63,40.63,49.91,44.58,43.14,42.05,44.94,40.54,48.89,44.18,48.81,48.89,18.75,43.36,3.43
22.5,45.3,45.26,44.44,43.2,48.11,46.45,48.44,45.28,48.48,47.87,47.15,42.61,42.13,46.83,53.41,42.86,47.93,47.87,42.11,48.34,46.29,46.3,45.87,46,42.24,44.78,44.53,54.91,48.19,41.18,47.73,44.94,45.05,53.33,46.9,44.35,53.33,22.5,46.49,3.27
26.25,81.2,74.45,65.19,64.8,73.58,78.05,71.84,69.81,75.76,68.09,70.73,67.05,74.16,64.76,76.14,75.4,66.94,61.7,63.16,74.61,65.02,66.67,67.89,70,62.93,71.49,68.75,86.73,73.49,61.76,60.23,64.04,65.77,71.11,65.76,65.87,71.11,26.25,69.62,5.81
30,86.32,88.32,88.89,92.8,92.45,86.87,95.73,83.96,87.12,82.98,75.61,87.5,93.26,80.37,89.77,62.7,94.21,76.6,77.19,93.17,85.71,65.74,91.74,84,88.79,76.48,98.44,92.64,83.13,78.43,92.05,76.4,74.77,86.67,88.6,90.42,86.67,30,85.31,8.03
33.75,93.16,97.08,94.81,96,98.11,92.9,88.46,74.53,97.73,100,87.8,82.95,82.58,100,95.45,86.51,97.52,90.43,82.46,93.71,77.73,100,88.99,94,90.52,81.45,89.84,100,95.18,84.31,93.18,84.27,81.08,90,75.9,99.61,90,33.75,90.49,7.22
37.5,87.18,91.24,89.63,88.8,89.62,97.48,82.43,78.3,93.18,84.04,78.86,77.27,76.4,87.22,92.05,93.65,93.39,86.17,78.07,100,69.8,70.37,82.57,85,81.03,,82.81,100,93.98,81.37,86.36,86.52,72.07,86.67,94.44,84.5,86.67,37.5,85.81,7.66
41.25,73.5,71.53,74.81,71.2,74.53,83.44,75.12,68.87,77.27,74.47,76.42,78.41,71.35,67.3,75,78.57,73.55,68.09,66.67,74.83,64.79,72.22,70.64,73,64.66,70.6,87.5,73.34,72.29,65.69,69.32,73.03,72.97,72.22,78.62,69.88,72.22,41.25,72.92,4.74
45,51.28,47.45,47.41,49.6,52.83,51.33,54.11,46.23,47.73,51.06,45.53,42.61,41.57,55.18,52.27,42.06,51.24,56.38,50,56.4,46.91,39.81,54.13,46,45.69,46.42,48.44,51.45,50.6,49.02,61.36,60.67,49.55,46.67,59.41,50.9,46.67,45,49.89,5.07
48.75,40.17,43.8,42.22,48,45.28,45.2,48.93,50,44.7,42.55,40.65,40.34,37.08,52.3,48.86,42.06,44.63,47.87,45.61,48.12,43.7,44.44,44.04,46,43.97,40.9,42.19,45.07,46.99,43.14,48.86,50.56,48.65,45.56,55.46,48.56,45.56,48.75,45.46,3.72
52.5,45.3,45.26,43.7,48,48.11,52.84,51.31,47.17,46.97,48.94,44.72,44.32,42.7,49.25,53.41,46.03,49.59,50,47.37,48.79,46.57,47.22,46.79,48,45.69,47.83,46.88,55.1,45.78,48.04,52.27,53.93,46.85,47.78,57.4,43.05,47.78,52.5,48.13,3.33
56.25,72.65,72.99,72.59,72,72.64,80.95,73.44,71.7,77.27,72.34,73.98,72.73,72.47,65.38,77.27,80.16,75.21,70.21,69.3,76.71,65.64,75,70.64,73,66.38,73.49,71.88,81.89,74.7,65.69,70.45,71.91,65.77,74.44,79.72,69.76,74.44,56.25,72.89,4.14
60,78.63,90.51,90.37,92.8,100,89.84,100,83.96,85.61,91.49,87.8,84.66,100,92.24,86.36,71.43,96.69,89.36,84.21,87.86,79.98,75.93,93.58,82,91.38,72.64,100,94.77,68.67,85.29,90.91,93.26,90.09,68.89,97.95,64.51,68.89,60,86.56,9.76
63.75,85.47,94.89,100,97.6,98.11,94.04,90.52,77.36,100,89.36,71.54,94.32,96.07,98.08,93.18,76.19,100,96.81,100,98.79,81.61,78.7,88.07,98,94.83,74.31,94.53,77.93,96.39,92.16,97.73,100,90.99,100,94.83,93.91,100,63.75,92.06,8.37
67.5,81.2,90.51,85.93,92,90.57,98.49,90.85,83.02,90.91,78.72,87.8,90.91,88.76,87.04,93.18,78.57,95.87,85.11,86.84,93.27,73.34,93.52,84.4,80,81.9,84.15,89.84,96.94,87.95,87.25,90.91,92.13,84.68,88.89,88.48,69.88,88.89,67.5,87.37,6.13
71.25,67.52,75.91,70.37,76.8,73.58,88.35,74.01,68.87,75.76,72.34,62.6,75.57,71.35,65.45,79.55,82.54,76.03,74.47,71.93,84.11,65.97,74.07,72.48,73,63.79,73.88,71.88,88.01,62.65,75.49,77.27,76.4,83.78,73.33,83.35,60.94,73.33,71.25,73.97,6.68
75,44.44,48.18,47.41,55.2,52.83,52,54.8,47.17,47.73,52.13,47.97,46.02,43.82,56,50,46.83,53.72,59.57,51.75,54.19,51.18,42.59,54.13,49,51.72,54.68,50,58.42,51.81,52.94,59.09,55.06,56.76,48.89,62.41,54.65,48.89,75,51.73,4.58
78.75,41.03,41.61,40.74,48.8,41.51,46.15,50.57,50.94,43.18,50,40.65,42.05,37.64,54.22,48.86,42.06,47.11,52.13,48.25,52.98,45.22,42.59,47.71,46,43.1,46.36,43.75,49.19,50.6,49.02,54.55,56.18,55.86,46.67,59.17,41.08,46.67,78.75,47.14,5.17
82.5,46.15,43.8,42.22,52,47.17,54.29,53.65,47.17,50,50,43.09,45.45,38.2,55.23,53.41,50.79,52.89,56.38,51.75,56.95,48.26,50,50.46,47,45.69,53.9,46.88,54.89,51.81,53.92,56.82,57.3,55.86,51.11,57.44,47.55,51.11,82.5,50.56,4.71
86.25,70.09,74.45,73.33,71.2,73.58,83.54,72.82,68.87,71.21,72.34,70.73,78.41,73.03,70.72,77.27,71.43,76.03,73.4,71.05,78.26,68,75.93,71.56,75,68.1,77.72,71.88,87.12,73.49,70.59,73.86,76.4,77.48,75.56,81.81,66.74,75.56,86.25,74.02,4.29
90,69.23,93.43,86.67,100,97.17,90.04,96.8,84.91,91.67,93.62,86.99,95.45,93.26,97.85,86.36,84.13,92.56,100,85.96,99.01,85.38,72.22,98.17,88,91.38,89.3,96.09,97.24,89.16,85.29,95.45,96.63,100,93.33,98.26,69.63,93.33,90,90.92,7.87
93.75,88.89,100,95.56,99.2,100,100,92.12,88.68,93.94,96.81,80.49,100,92.7,98.59,97.73,73.02,97.52,90.43,84.21,96.03,92.13,96.3,99.08,95,94.83,89.99,96.09,92.6,100,100,100,97.75,100,97.78,100,94.31,97.78,93.75,94.85,5.96
97.5,84.62,87.59,73.33,91.2,90.57,99.29,92,81.13,90.91,78.72,81.3,95.45,87.08,88.41,93.18,77.78,96.69,91.49,83.33,93.27,77.73,74.07,86.24,88,85.34,92.55,90.63,96.3,85.54,82.35,89.77,89.89,92.79,93.33,96.27,63.53,93.33,97.5,87.43,7.61
101.25,67.52,75.18,71.85,76.8,73.58,88.25,73.32,69.81,78.03,76.6,68.29,69.89,74.16,68.39,77.27,81.75,73.55,77.66,70.18,78.7,62.99,76.85,73.39,74,66.38,81.3,78.13,87.63,71.08,72.55,75,78.65,87.39,73.33,84.02,61.12,73.33,101.25,74.81,6.24
105,43.59,45.26,46.67,51.2,52.83,51.9,57.23,48.11,49.24,55.32,46.34,47.73,43.26,58.06,54.55,44.44,48.76,59.57,54.39,56.07,48.82,41.67,54.13,49,45.69,51.84,49.22,51.79,46.99,50.98,64.77,60.67,55.86,48.89,65.4,54.81,48.89,105,51.46,5.72
108.75,42.74,44.53,42.96,49.6,47.17,47.8,49.84,52.83,43.18,46.81,42.28,39.77,37.08,52.4,48.86,41.27,43.8,56.38,49.12,51.43,41.9,38.89,45.87,45,44.83,45.54,43.75,52.3,45.78,48.04,55.68,52.81,52.25,45.56,57.34,51.52,45.56,108.75,47.09,4.94
112.5,45.3,37.96,45.93,50.4,49.06,55.91,49.88,47.17,50,,48.78,45.45,45.51,53.13,53.41,49.21,49.59,57.45,52.63,50.99,44.66,44.44,47.71,46,45.69,50.52,47.66,53.02,44.58,53.92,55.68,57.3,55.86,48.89,57.36,50.76,48.89,112.5,49.74,4.44
116.25,66.67,77.37,71.11,76,75.47,84.18,74.06,74.53,80.3,76.6,71.54,72.16,78.09,71.82,77.27,82.54,75.21,80.85,71.93,82.45,70.13,76.85,74.31,74,70.69,81.79,76.56,89.8,69.88,71.57,72.73,80.9,81.08,71.11,85.96,65.32,71.11,116.25,75.78,5.42
#N/A,3,6,7,8,9,10,11,12,13,15,16,17,19,21,22,23,28,30,32,33,34,35,36,37,38,41,46,48,52,55,56,58,61,62,63,64,68,#N/A,#N/A,#N/A
#N/A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A
