[propoxur] %,Combined weight (g),No dead,
0,0.84,0,
0.001,0.46,0,
0.005,0.53,2,
0.01,0.38,1,
0.02,0.5,2,
0.05,0.34,2,
0.1,0.81,2,
0.5,0.8,2,
1,0.58,2,
0,0.52,0,
0.001,0.6,0,
0.005,0.61,2,
0.01,0.5,0,
0.02,0.58,2,
0.1,0.38,2,
0.5,0.6,2,
1,0.46,2,
0,0.4,0,
0.001,0.5,0,
0.005,0.35,2,
0.01,0.52,1,
0.02,0.72,1,
0.1,0.7,2,
0.5,0.68,2,
1,0.3,2,
0,0.52,0,
0.001,0.51,0,
0.005,0.36,2,
0.01,0.88,0,
0.02,0.4,2,
0.1,0.49,2,
0.2,0.63,2,
0.5,0.8,2,
1,0.85,2,
0,0.49,1,
0.001,0.62,1,
0.002,0.7,0,
0.005,0.6,1,
0.01,0.39,2,
0.02,0.44,1,
0.05,0.5,1,
0.1,0.46,2,
0.2,0.75,1,
0.5,0.44,2,
1,0.49,2,
0,0.35,1,
0.001,0.31,0,
0.002,0.4,0,
0.005,0.7,1,
0.01,0.77,1,
0.02,0.81,2,
0.05,0.5,2,
0.1,0.47,2,
0.2,0.6,1,
0.5,0.42,2,
1,0.95,2,
0,0.4,1,
0.001,0.4,0,
0.002,0.5,1,
0.005,0.6,0,
0.01,0.6,0,
0.02,0.5,1,
0.05,0.6,2,
0.1,0.4,2,
0.2,0.7,2,
0.5,0.6,1,
1,0.59,2,
0,0.47,1,
0.001,0.45,0,
0.002,0.6,0,
0.005,0.46,1,
0.01,0.54,2,
0.02,0.34,2,
0.05,0.45,2,
0.1,0.45,2,
0.2,0.8,1,
0.5,0.31,2,
1,0.36,2,
0,1.58,0,
0.001,0.72,0,
0.002,0.56,0,
0.005,0.7,1,
0.01,0.6,1,
0.02,0.81,2,
0.05,1.16,2,
0.1,1.41,2,
0.2,1.52,2,
0.5,1.1,2,
1,0.98,2,
0,0.46,0,
0.001,0.44,0,
0.002,0.71,0,
0.005,0.72,2,
0.01,0.58,2,
0.02,0.62,2,
0.05,0.37,2,
0.1,0.84,2,
0.2,0.34,2,
0.5,0.6,2,
1,0.6,2,
0,0.9,0,
0.001,0.5,0,
0.002,0.7,1,
0.005,0.6,1,
0.01,1.01,0,
0.02,1.02,0,
0.05,0.71,2,
0.1,0.6,2,
0.2,0.6,2,
0.5,0.72,2,
1,0.65,2,
0,0.63,2,
0.001,0.44,0,
0.002,0.58,1,
0.005,0.55,0,
0.01,0.58,2,
0.02,0.99,2,
0.05,0.81,1,
0.1,0.76,2,
0.2,0.93,2,
0.5,0.58,2,
1,0.55,2,
0,0.6,0,
0.001,0.92,0,
0.002,0.7,1,
0.005,0.45,1,
0.01,0.66,1,
0.02,0.52,1,
0.05,0.66,0,
0.1,0.7,2,
0.2,0.6,2,
0.5,1.14,2,
1,0.48,2,
0,0.96,1,
0.001,0.5,0,
0.01,1.57,0,
0.02,0.44,2,
0.05,0.91,0,
0.1,1.02,2,
0.2,1.21,2,
0.5,1.35,2,
1,0.46,2,
0,0.6,0,
0.001,0.92,0,
0.01,0.66,1,
0.02,0.52,1,
0.05,0.66,0,
0.1,0.7,2,
0.2,0.6,2,
0.5,1.14,2,
1,0.48,2,
0,0.96,1,
0.001,0.5,0,
0.01,1.57,0,
0.02,0.44,2,
0.05,0.91,0,
0.1,1.02,2,
0.2,1.21,2,
0.5,1.35,2,
1,0.46,2,
0,0.42,0,
0.001,0.38,0,
0.01,0.26,1,
0.02,0.59,2,
0.05,0.37,2,
0.1,0.39,2,
0.2,0.86,2,
0.5,0.49,2,
1,0.54,2,
0,0.88,0,
0.001,0.48,1,
0.01,0.58,2,
0.02,0.5,2,
0.1,0.73,2,
0.2,0.45,2,
0.5,0.4,2,
1,0.9,2,
0,1.1,0,
0.001,1,0,
0.01,0.7,1,
0.02,0.7,2,
0.05,0.8,2,
0.1,0.6,2,
0.2,0.4,2,
0.5,0.6,2,
1,0.8,2,
0,0.6,0,
0.001,0.43,0,
0.01,0.25,2,
0.02,0.44,2,
0.05,0.57,2,
0.1,1,2,
0.2,0.6,2,
0.5,0.9,2,
1,0.66,2,
0,0.6,0,
0.001,0.7,0,
0.002,0.72,0,
0.005,0.65,0,
0.01,0.82,2,
0.02,0.9,2,
0.05,0.7,2,
0.1,0.7,2,
0.2,0.8,2,
0.5,0.6,2,
1,0.4,2,
0,0.5,0,
0.001,0.54,0,
0.002,0.6,1,
0.005,0.4,0,
0.01,1.35,0,
0.02,0.94,0,
0.05,1.19,2,
0.1,1.08,2,
0.2,0.59,2,
0.5,0.45,2,
1,0.5,2,
0,0.93,0,
0.001,0.26,0,
0.002,0.84,1,
0.005,0.73,0,
0.01,0.94,2,
0.02,0.99,2,
0.05,0.95,2,
0.1,0.95,2,
0.2,0.8,2,
0.5,0.93,2,
1,0.91,2,
0,1.335,0,
0.005,0.97,0,
0.05,1.875,0,
0.1,1.615,2,
0.2,1.071,1,
0,1.6,0,
0.01,1.2,1,
0.07,0.9,2,
0.1,1.5,2,
0.2,1.3,2,
0,0.988,1,
0.005,1.512,0,
0.01,1.902,0,
0.05,1.422,0,
1,1.246,1,
0,1.069,0,
0.005,1.437,0,
0.01,0.86,1,
0.07,1.153,2,
0.2,1.011,2,
0.005,1.15,1,
0.05,0.93,2,
0.07,1.23,2,
0.1,0.7,2,
0.2,0.8,2,
0,1.25,0,
0.01,0.994,0,
0.05,1.814,1,
0.07,1.388,2,
0.1,1.086,2,
0,0.8706,0,
0.005,0.789,1,
0.01,0.888,0,
0.07,0.912,2,
0.2,1.506,2,
0,1.07,0,
0.005,0.955,0,
0.01,1.253,0,
0.05,1.174,2,
0.1,1.142,2,
0.2,1.1,2,
0.1,0.9,1,
0.05,1.32,2,
0.005,0.64,0,
0.07,1.34,0,
0.005,1.04,0,
0.005,0.89,1,
0.01,0.7,0,
0.01,1.4,0,
0.07,0.85,1,
0.2,0.96,2,
0.1,0.64,2,
0.05,1.04,1,
0.05,0.92,1,
0.03,1.3,0,
0.03,0.6,0,
0,0.68,0,
0.005,1,0,
0.01,1,0,
0.01,0.9,0,
0.07,0.7,1,
0.07,0.9,1,
0.2,1.3,2,
0.005,0.73,0,
0.2,0.56,2,
0.07,0.95,1,
0.01,0.73,0,
0.005,0.78,0,
0.2,0.85,2,
0,0.83,0,
0.03,0.72,0,
0.05,0.83,1,
0.1,0.75,2,
0.1,0.69,2,
0,0.84,0,
0,1.2,0,
0.03,1.4,0,
0.03,1,0,
0.05,1.32,2,
0.1,1.02,2,
0.005,0.886,1,
0.005,1.471,0,
0.01,0.595,2,
0.07,0.934,2,
0.2,0.801,2,
0.005,0.924,0,
0.005,0.79,0,
0.01,0.867,0,
0.07,1.004,2,
0.2,0.771,2,
0,0.9,0,
0.03,0.76,2,
0.05,0.9,2,
0.05,0.96,2,
0.1,1.02,2,
0,0.607,0,
0.03,0.639,1,
0.03,1.177,2,
0.05,0.953,2,
0.1,0.719,2,
0,0.542,0,
0,0.85,0,
0.03,1.108,1,
0.05,1.148,2,
0.1,0.766,2,
0,1.1,0,
0,0.8,0,
0.03,0.9,0,
0.05,0.9,2,
0.1,0.8,2,
0.005,0.28,0,
0.01,0.58,0,
0.07,0.28,2,
0.2,0.08,2,
0.2,0.38,2,
0.005,0.55,0,
0.01,0.88,0,
0.07,0.75,2,
0.07,0.63,2,
0.2,0.93,2,
0.005,0.8,0,
0.01,0.7,0,
0.01,1,1,
0.07,0.8,2,
0.2,0.6,2,
0,0.718,0,
0.05,0.93,2,
0.03,0.748,2,
0.1,1.098,2,
0.1,0.732,2,
0.01,1,1,
0.05,1.18,0,
0.025,0.87,1,
0.001,0.64,0,
0.007,0.87,1,
0.005,0.61,0,
0.0025,0.78,0,
0.001,0.75,0,
0.007,0.79,0,
0.003,0.67,1,
0.025,0.82,0,
0.01,0.84,0,
0.005,1.31,0,
0.0025,0.82,0,
0.001,0.8,0,
0,0.58,0,
0.001,0.88,0,
0.0025,0.76,0,
0.003,0.94,1,
0.007,0.74,0,
0,0.51,0,
0.1,1.21,2,
0.007,1.06,1,
0.003,1.39,1,
0.001,0.88,0,
0.025,0.81,1,
0.007,1.15,1,
0.003,0.52,0,
0,1.09,0,
0.1,1.27,2,
0,1.11,1,
0.0025,0.55,2,
0.003,0.78,1,
0.007,0.78,2,
1,0.81,2,
0.1,0.78,1,
0.01,1.27,2,
0.001,1.05,0,
0,0.75,0,
0.001,0.73,1,
0.003,0.96,1,
0.007,0.68,2,
0.1,1.02,2,
0,0.95,0,
0.005,0.67,0,
0.01,1.05,0,
0.025,1.34,0,
0.1,1.09,1,
0,1,0,
0.01,1.09,0,
0.025,1.11,2,
0.003,0.85,0,
0.1,0.8,2,
0.001,1.79,0,
0.0025,1.1,0,
0.005,1,0,
0.003,0.7,0,
0.007,1.3,0,
0.0025,1.137,0,
0.005,0.956,0,
0.01,0.963,1,
0.025,0.922,1,
0.1,0.851,2,
0.001,1.08,0,
0.0025,1.06,1,
0.005,0.96,1,
0.007,1.04,0,
0.01,1.12,0,
0.001,0.67,0,
0.0025,0.86,0,
0.005,0.696,1,
0.01,1.009,2,
0.025,1.05,2,
0,0.82,0,
0.003,1.2,0,
0.007,0.14,2,
0.025,0.68,2,
0.1,0.52,2,
0.15,1.516,0,
0.75,1.658,2,
1.5,1.214,2,
2.25,1.416,2,
3,1.836,2,
3.75,1.54,1,
4.5,1.578,2,
0.1,1.44,0,
0.2,1.42,0,
0.4,1.15,1,
0.5,1.59,1,
0.6,1.2,0,
0.8,0.75,1,
1,0.81,2,
0.7,0.81,2,
0.5,0.81,1,
0.3,0.81,1,
0.2,0.81,0,
0.1,0.81,0,
0,0.81,0,
0.1,1.3,0,
0.23,1.3,2,
0.35,1.4,1,
0.9,1.2,2,
1.9,1.1,2,
3.9,1.3,2,
0,0.62,0,
0.0125,0.5,1,
0.035,0.86,1,
0.075,0.82,1,
0.125,1.6,2,
0.175,1.26,1,
0.2,1.22,2,
0.025,0.56,2,
0,0.46,0,
0.075,0.88,2,
0.1,0.68,2,
0.125,0.64,2,
0.175,0.7,2,
0.2,0.7,2,
0,1.38,0,
0.0125,0.64,0,
0.025,0.92,1,
0.0625,1.42,2,
0.1,0.96,1,
0.1625,0.76,2,
0.2,1.58,2,
0,1.24,0,
0.0125,1.06,0,
0.025,1.06,1,
0.0625,0.74,2,
0.075,0.74,1,
0.125,0.52,2,
0.1625,1.52,2,
0,0.76,0,
0.0125,0.9,1,
0.025,0.8,1,
0.05,1.1,0,
0.075,1.02,2,
0.125,0.86,2,
0.2,0.86,2,
0,0.62,0,
0.0125,0.82,1,
0.025,0.66,1,
0.075,0.46,2,
0.1,0.74,2,
0.125,0.76,2,
0.2,0.74,2,
0.025,0.9,0,
0.05,0.9,2,
0.075,0.98,2,
0.1,0.64,2,
0.125,1.1,2,
0.155,0.84,2,
0.2,0.7,2,
0,0.78,0,
0.025,0.8,0,
0.05,0.82,2,
0.075,0.74,2,
0.1,0.74,2,
0.125,0.68,2,
0.15,0.82,0,
0,0.82,2,
0.0125,0.72,1,
0.025,0.78,2,
0.075,1.32,2,
0.125,0.72,2,
0.175,1.5,2,
0.2,0.98,2,
0,0.52,0,
0.0125,0.7,0,
0.025,0.72,0,
0.05,0.82,0,
0.1,0.88,1,
0.15,0.86,2,
0.2,0.86,2,
0,0.3,0,
0.025,0.3,1,
0.05,0.7,2,
0.075,0.7,2,
0.1,0.5,2,
0.15,0.8,2,
0.2,0.8,2,
0.025,0.72,2,
0.05,1.3,2,
0.075,0.88,2,
0.1,1.52,2,
0.125,0.94,2,
0.15,1,2,
0.175,0.76,2,
0.025,0.6,1,
0.05,0.5,1,
0.075,0.9,2,
0.1,1,2,
0.125,1.3,2,
0.15,0.7,2,
0.175,1.1,2,
0,0.9,0,
0.125,0.9,1,
0.275,1.1,2,
0.75,1.5,2,
1.5,1.5,2,
1.2,0.8,2,
2.6,1.3,2,
0.125,1.28,1,
0.25,1.22,2,
0.5,1.12,2,
1,1.46,2,
1.5,0.98,2,
1.75,1.9,2,
2,0.52,2,
0.09,0.9,2,
0.075,1.5,0,
0.11,1.1,0,
0.255,1.3,0,
0.16,0.8,0,
0.375,1.5,0,
0.3,1,0,
0.014,1.32,0,
0.0275,1.1,0,
0.14,1.2,2,
0.158,0.72,2,
0.15,0.92,2,
0.18,0.84,2,
0.32,1.08,2,
0,0.7,0,
0.25,0.72,0,
0.5,0.8,0,
1.5,1.5,2,
2,0.64,2,
2.5,0.44,2,
3,0.74,2,
0,1.025,0,
0.0001,1.284,0,
0.001,1.3781,0,
0.01,0.878,0,
0.02,1.198,1,
0.05,1.01,2,
0.1,1.36,1,
0,1.63,0,
0.0001,1.19,0,
0.001,1.03,0,
0.01,1.36,0,
0.02,1.19,0,
0.05,1.59,0,
0.1,1.08,1,
0,1.46,0,
0.1,1.2,1,
0.05,1.36,2,
0.02,1.24,1,
0.01,1,0,
0.001,0.85,1,
0.0001,1,2,
0,1.676,1,
0.0001,1.214,1,
0.001,1.744,1,
0.01,1.264,1,
0.02,0.904,2,
0.05,1.736,2,
0.1,1.05,2,
0.1,0.56,2,
0.01,0.36,1,
0.001,0.58,2,
0,1.01,0,
0.1,1.32,2,
0.05,1.37,2,
0.02,0.81,2,
0.01,1,2,
0.001,0.85,0,
0.0001,0.69,0,
0,0.96,0,
1,1.642,1,
0.1,1.039,1,
0.01,1.187,1,
0.001,0.98,0,
0.0001,1.612,0,
0,0.772,0,
1,1.027,2,
0.1,1.649,2,
0.01,1.561,1,
0.001,1.554,0,
0.0001,1.409,0,
0,1.599,0,
1,1.463,2,
0.1,1.588,2,
0.01,1.385,2,
0.001,0.925,2,
0.0001,1.5,1,
0,1.066,0,
1,1.409,2,
0.1,1.042,2,
0.01,1.186,1,
0.001,1.114,1,
0.0001,1.285,0,
0,0.797,0,
1,0.9,2,
0.1,1.14,2,
0.01,0.86,2,
0.001,1.1,0,
0.0001,0.62,0,
0,1.4,0,
1,1.246,2,
0.1,1.254,2,
0.01,1.001,1,
0.001,1.11,0,
0.0001,0.836,0,
0,0.954,0,
1,1.419,2,
0.1,1.446,2,
0.01,1.026,2,
0.001,1.019,0,
0.0001,1.005,0,
0,0.798,0,
1,1.075,2,
0.1,1.188,2,
0.01,1.495,1,
0.001,1.234,0,
0.0001,0.931,0,
0,0.924,1,
0.01,1.04,1,
0.001,1.5,0,
0.0001,1.06,0,
0.5,1.07,2,
1,0.81,2,
0.1,0.72,2,
0,0.96,0,
0.1,1.1,2,
0.05,1.2,0,
0.01,1.1,0,
0.005,1.3,0,
0.001,1.2,0,
0.0001,1.2,0,
0.00001,1.1,0,
0,1.2,0,
0.1,1.4,2,
0.01,0.7,1,
0.004,1.1,0,
0.002,0.9,0,
0.0008,1.1,0,
0.0001,0.8,0,
0,1.4,0,
0.1,1,1,
0.0001,1.2,0,
0.001,1.1,0,
0.000001,1.2,0,
1,0.8,2,
0.01,1.2,1,
0.05,1.4,2,
0,1.1,0,
0.0001,1.1,0,
0.001,0.8,0,
0.007,1.2,0,
0.01,1.4,0,
0.02,1.2,2,
0.05,1.4,2,
0.1,1.3,2,
0.1,0.9,2,
0.05,1,2,
0.01,0.8,2,
0.005,1.1,0,
0.0025,1,0,
0.001,0.7,1,
0.0001,1.1,0,
0,1.1,1,
0,0.8,0,
0.0001,0.7,0,
0.001,1.3,0,
0.005,0.7,1,
0.008,1.2,0,
0.01,1.2,1,
0.02,1.0,1,
0.1,1.1,2,
0,1.1,0,
0.001,1.2,0,
0.005,2,0,
0.01,0.8,1,
0.1,0.9,2,
0,1.1,0,
0.00001,1.1,0,
0.0001,1.6,0,
0.001,1.3,0,
0.009,1.4,0,
0.01,1.2,0,
0.05,1.3,2,
0.1,1.1,2,
0,1.3,0,
0.0001,1.4,0,
0.001,1.7,0,
0.01,1.6,0,
0.05,1.2,0,
0.06,1.8,0,
0.08,1.4,1,
0.1,1.5,2,
0.1,0.5,2,
0.02,0.5,2,
0.01,0.5,0,
0.002,0.3,0,
0.001,0.3,0,
0.0001,0.5,0,
0,0.6,0,
0.1,1.4,2,
0.05,0.6,2,
0.01,0.5,1,
0.005,0.8,0,
0.001,0.6,0,
0.0001,0.5,0,
0,1.5,0,
0,1.1,0,
0.1,0.5,2,
0.01,0.8,2,
0.001,0.7,0,
0.0001,0.7,0,
0.03,0.6,2,
0.003,0.7,0,
0,0.05,0,
0.1,0.3,2,
0.01,0.45,1,
0.001,0.2,2,
0.0001,0.35,2,
0.02,0.55,2,
0.002,0.25,1,
0,0.7,0,
0.1,0.5,2,
0.05,0.5,2,
0.01,0.6,1,
0.005,0.4,0,
0.001,0.7,0,
0.0001,0.7,1,
0.1,0.3,2,
0.01,0.5,1,
0.005,0.6,1,
0.001,0.9,0,
0.0005,0.4,0,
0.0001,0.3,0,
0,0.7,0,
0,0.5,0,
0.0001,0.4,1,
0.005,0.4,0,
0.001,0.5,0,
0.05,0.5,1,
0.01,0.6,0,
0.1,0.9,1,
0.1,0.4,2,
0.05,0.5,2,
0.01,0.5,2,
0.005,0.5,1,
0.001,0.3,1,
0.0001,0.4,0,
0,0.5,0,
0,0.3,0,
0.0001,0.6,0,
0.004,0.6,1,
0.006,0.5,1,
0.001,0.6,1,
0.01,0.5,0,
0.1,0.5,2,
0,0.9,0,
0.1,0.9,2,
0.01,0.8,1,
0.001,1.0,0,
0.0001,1.2,0,
0.00001,1.2,0,
0.04,1.2,1,
0.07,1.0,2,
0,1.3,0,
0.0001,1.4,0,
0.001,1.7,0,
0.01,1.6,0,
0.05,1.2,0,
0.06,1.8,0,
0.08,1.4,1,
0.1,1.5,2,
